Date,Lottery number, Number 1, Number 2, Number 3, Number 4, Number 5, Number 6, Number 7, Number 8, Number 9, Number 10, Number 11, Number 12, Number 13, Number 14, Number 15, Number 16, Number 17,Number of first prize winners,,,,,,,,,,,,
26/11/2021,11279,3,8,10,12,24,28,31,34,45,48,49,50,54,61,62,66,69,2,,,OVERALL,,,ALL RANK (Top to Bottom),,,Most Frequent 7 Numbers,,,
25/11/2021,11278,2,12,21,26,28,30,34,38,45,47,48,51,54,58,60,62,67,2,,,Number,Frequency,,Number,Frequency,,Number,Frequency,,
24/11/2021,11276,7,9,13,15,16,17,18,25,41,43,45,47,49,53,65,67,69,1,,,1,1025,,8,1043,,8,1043,,
23/11/2021,11274,2,3,6,9,12,18,19,20,21,28,31,34,35,40,50,56,58,2,,,2,969,,7,1033,,7,1033,,
23/11/2021,11273,1,11,14,17,21,22,23,26,29,31,34,36,38,48,55,66,69,2,,,3,1008,,1,1025,,1,1025,,
22/11/2021,11272,5,8,10,11,12,13,15,17,21,22,43,45,55,56,61,65,70,8,,,4,965,,17,1025,,17,1025,,
22/11/2021,11271,1,3,4,5,8,12,19,26,28,33,35,52,54,59,61,65,69,2,,,5,1012,,9,1023,,9,1023,,
21/11/2021,11269,6,12,15,19,22,23,27,29,32,34,35,46,48,54,56,57,70,1,,,6,988,,28,1021,,28,1021,,
20/11/2021,11268,12,16,19,21,24,31,34,38,41,43,44,45,46,50,53,61,63,2,,,7,1033,,11,1014,,11,1014,,
19/11/2021,11267,6,9,13,15,20,25,35,40,44,47,49,52,53,55,61,64,66,1,,,8,1043,,5,1012,,,,,
18/11/2021,11265,6,7,19,20,23,29,30,40,46,56,58,59,62,63,66,68,70,1,,,9,1023,,3,1008,,,,,
16/11/2021,11262,4,6,12,14,17,20,21,30,34,36,38,43,48,65,66,67,68,1,,,10,995,,19,998,,,,,
14/11/2021,11258,4,5,8,11,12,14,15,18,21,22,32,35,41,43,44,52,53,2,,,11,1014,,10,995,,,,,
13/11/2021,11256,4,5,6,8,10,18,19,21,40,47,51,58,59,60,62,67,70,1,,,12,984,,15,991,,,,,
12/11/2021,11255,4,10,14,17,20,24,27,28,36,45,51,53,61,65,66,67,68,1,,,13,950,,6,988,,,,,
09/11/2021,11249,1,2,3,4,15,16,17,19,25,26,34,44,49,51,56,66,68,1,,,14,966,,12,984,,,,,
07/11/2021,11246,2,6,13,15,22,29,30,32,34,35,37,40,42,52,54,61,65,1,,,15,991,,18,981,,,,,
07/11/2021,11245,3,6,7,10,11,13,19,23,26,38,39,46,57,59,63,65,68,1,,,16,975,,24,980,,,,,
06/11/2021,11244,5,6,10,18,21,25,28,34,35,37,38,40,45,47,53,66,68,1,,,17,1025,,36,979,,,,,
05/11/2021,11243,1,4,5,6,9,11,17,21,29,30,41,42,43,44,55,57,62,1,,,18,981,,20,976,,,,,
04/11/2021,11242,1,4,7,13,17,24,28,30,34,38,46,51,56,57,59,60,69,1,,,19,998,,16,975,,,,,
01/11/2021,11236,1,3,5,7,11,16,17,21,26,29,34,35,38,56,61,64,68,1,,,20,976,,2,969,,,,,
01/11/2021,11235,13,16,18,20,21,25,27,34,36,37,42,47,48,56,61,62,63,1,,,21,939,,34,969,,,,,
31/10/2021,11233,3,5,8,11,12,15,22,23,25,26,34,46,47,50,51,63,67,2,,,22,939,,25,967,,,,,
29/10/2021,11231,3,6,7,9,12,13,14,22,28,29,30,33,40,42,61,63,66,1,,,23,942,,14,966,,,,,
28/10/2021,11229,4,6,8,10,12,19,31,32,34,37,38,43,50,54,55,58,59,1,,,24,980,,4,965,,,,,
27/10/2021,11228,2,4,6,8,10,13,16,18,19,26,35,42,48,51,55,58,59,3,,,25,967,,44,965,,,,,
27/10/2021,11227,1,2,4,7,10,26,28,32,34,43,47,51,56,61,62,67,68,1,,,26,961,,26,961,,,,,
26/10/2021,11226,7,8,9,10,12,16,27,30,31,32,35,42,62,64,66,69,70,1,,,27,955,,27,955,,,,,
24/10/2021,11221,2,3,7,13,14,15,19,22,27,34,39,40,43,45,46,57,65,1,,,28,1021,,66,953,,,,,
22/10/2021,11219,5,6,12,14,15,19,20,29,30,31,36,42,44,49,58,60,70,1,,,29,907,,67,952,,,,,
21/10/2021,11218,5,6,7,8,10,21,22,24,29,31,32,35,37,41,47,60,64,1,,,30,903,,13,950,,,,,
20/10/2021,11215,12,14,19,20,30,32,37,42,43,45,49,50,52,57,67,68,69,1,,,31,881,,48,947,,,,,
13/10/2021,11204,2,5,6,11,14,15,22,25,27,29,30,32,33,36,45,55,59,2,,,32,911,,45,943,,,,,
11/10/2021,11199,9,11,13,17,25,28,33,36,37,40,43,44,53,55,65,66,68,1,,,33,894,,23,942,,,,,
08/10/2021,11195,5,11,14,17,19,29,34,37,39,41,47,48,52,60,65,68,70,2,,,34,969,,21,939,,,,,
07/10/2021,11194,3,5,7,15,18,22,37,39,40,46,47,51,52,53,62,65,68,1,,,35,915,,22,939,,,,,
06/10/2021,11192,2,3,4,9,22,28,32,43,44,45,46,47,50,51,59,61,69,1,,,36,979,,56,935,,,,,